Alex / Ryan / Dave,Format,My Deck,Opponent's Deck,Game 1/2/3,Win / Lose,Card 1,Card 2,Card 3,Card 4,Card 5,Card 6,Card 7
ryan,modern,mardu pyromancer,Temur scapeshift,2,win,bloodstained mire,arid mesa,sacred foundry,thoughtseize,collective brutality,kolaghan's command,
ryan,modern,mardu pyromancer,Temur scapeshift,3,win,marsh flats,sacred foundry,inquisition of kozilek,collective brutality,faithless looting,kambal  consul of allocation,
ryan,modern,mardu pyromancer,ur delver,1,win,blood crypt,swamp,bloodstained mire,young pyromancer,terminate,bedlam reveler,
ryan,modern,mardu pyromancer,ur delver,3,win,bloodstained mire,blood crypt,sacred foundry,inquisition of kozilek,dire fleet daredevil,bedlam reveler,faithless looting
Ryan,modern,mardu pyromancer,dredge,2,win,mountain,sacred foundry,faithless looting,faithless looting,dreadbore,bedlam reveler,fatal push
ryan,modern,mardu pyromancer,mardu madcap/nahiri,1,win,swamp,sacred foundry,inquisition of kozilek,inquisition of kozilek,faithless looting,faithless looting,blood moon
ryan,modern,mardu pyromancer,mardu madcap/nahiri,2,win,swamp,blackcleave cliffs,magmatic insight,young pyromancer,dreadbore,lightning bolt,kambal  consul of allocation
Alex,Vintage,Dredge,Oath Storm,1,win,Dread Return,Golgari Grave-Troll,Bazaar of Baghdad,Bazaar of Baghdad,Undiscovered Paradise,Dakmor Salvage,
Alex,Vintage,Dredge,Oath Storm,3,win,Prized Amalgam,Serum Powder,Bazaar of Baghdad,Mental Misstep,Narcomoeba,Force of Will,Nature's Claim
Alex,Vintage,Dredge,Shops,1,win,Bazaar of Baghdad,Stinkweed Imp,Prized Amalgam,Mana Confluence,,,
Alex,Vintage,Dredge,Stax,1,win,Narcomoeba,Bazaar of Baghdad,Bloodghast,Bloodghast,Dakmoor Salvage,Ichorid,Cabal Therapy
Dave,Modern,UG Merfolk,Abzan,1,Win,Misty,Unclaimed Territory,Unclaimed territory,Deeproot elite,Deeproot elite,Silvergill adept,
ryan,Modern,mardu pyromancer,u/r pyro,1,win,mountain,blood crypt,arid mesa,faithless looting,lightning bolt,lightning bolt,lingering souls
ryan,Modern,mardu pyromancer,u/r pyro,2,win,blackcleave cliffs,arid mesa,lingering souls,thoughtseize,dire fleet daredevil,inquisition of kozilek,faithless looting
ryan,Modern,mardu pyromancer,elves,1,win,blackcleave cliffs,arid mesa,lightning bolt,lightning bolt,lightning bolt,bedlam reveler,
ryan,Modern,mardu pyromancer,elves,3,win,bloodstained mire,blackcleave cliffs,bedlam reveler,dreadbore,young pyromancer,lingering souls,dire fleet daredevil
Dave,Modern,UG Merfolk,5 Color Shadow,1,win,Misty,Unclaimed Territory,Aether vial,Silvergill adept,Merrow reejery,Seafloor oracle,
Dave,Modern,UG Merfolk,5 Color Shadow,2,win,Mutavault,Breeding pool,Island,Silvergill adept,Merfolk mistbinder,Master of the pearl trident,Kopala
Dave,Modern,UG Merfolk,Jund Shadow,1,win,Misty,Botanical Sanctum,Cursecatcher,Silvergill adept,Master of the pearl trident,Merrow reejery,Master of waves
Dave,Modern ,UG Merfolk,Jund Shadow,2,win,Mutavault,Unclaimed territory,Oboro,Misty,Island,Silvergill adept,Master of waves
Ryan,modern,mardu pyromancer,uw control,1,win,swamp,faithless looting,young pyromancer,blood moon,lingering souls,,
ryan,modern,mardu pyromancer,elves,1,win,bloodstained mire,mountain,swamp,dire fleet daredevil,lightning bolt,lingering souls,thoughtseize
ryan,modern,mardu pyromancer,elves,3,win,marsh flats,bloodstained mire,fatal push,kolaghan's command,bedlam reveler,terminate,lightning bolt
ryan ,modern,mardu pyromancer,r/g vengevine hollow one,1,win,marsh flats,bloodstained mire,swamp,bloodstained mire,inquisition of kozilek,young pyromancer,faithless looting
ryan ,modern,mardu pyromancer,r/g vengevine hollow one,2,win,bedlam reveler,blood crypt,bloodstained mire,young pyromancer,bloodstained mire,kolaghan's command,inquisition of kozilek
ryan ,modern,mardu pyromancer,affinity,2,win,arid mesa,arid mesa,swamp,inquisition of kozilek,faithless looting,magmatic insight,young pyromancer
ryan ,modern,mardu pyromancer,affinity,3,win,shattering spree,bloodstained mire,young pyromancer,young pyromancer,lightning bolt,lightning bolt,blackcleave cliffs
ryan ,modern,mardu pyromancer,uw control,1,win,bloodstained mire,mountain,inquisition of kozilek,thoughtseize,young pyromancer,inquisition of kozilek,lightning bolt
ryan ,modern,mardu pyromancer,uw control,2,win,blackcleave cliffs,blackcleave cliffs,thoughtseize,collective brutality,bedlam reveler,dire fleet daredevil,thoughtseize
Alex,Vintage,Dredge,4 Color Control,1,Win,Cabal Therapy,Narcomoeba,Stinkweed Imp,Narcomoeba,Bazaar of Baghdad,Narcomoeba,Dakmor Salvage
Alex,Vintage,Dredge,4 Color Control,2,Win,Narcomoeba,Mental Misstep,Hollow One,Bazaar of Baghdad,Ichorid,Force of Will,Prized Amalgam
Alex,Vintage,Dredge,Paradoxical Outcome,1,Win,Prized Amalgam,Dakmor Salvage,Golgari Thug,Bazaar of Baghdad,Ichorid,Stinkweed Imp,Bloodghast
Alex,Vintage,Dredge,BUG Pyromancer,1,Win,Force of Will,Dakmor Salvage,Bloodghast,Bazaar of Baghdad,Bridge from Below,Bloodghast,Stinkweed Imp
Alex,Vintage,Dredge,BUG Pyromancer,2,Win,Prized Amalgam,Bazaar of Baghdad,Mana Confluence,Bridge from Below,Mana Confluence,Narcomoeba,Mental Misstep
Alex,Vintage,Dredge,Paradoxical Outcome,1,Win,Prized Amalgam,Bazaar of Baghdad,Mana Confluence,Bazaar of Baghdad,Petrified Field,Bloodghast,Bloodghast
Alex,Vintage,Dredge,Paradoxical Outcome,2,Win,Golgari Grave-Troll,Mana Confluence,Bazaar of Baghdad,Bloodghast,Undiscovered Paradise,Prized Amalgam,
Alex,Vintage,Dredge,Oath,1,Win,Mana Confluence,Serum Powder,Bazaar of Baghdad,Stinkweed Imp,Prized Amalgam,Ichorid,Bridge from Below
Alex,Vintage,Dredge,Leovold,1,Win,Narcomoeba,Narcomoeba,Serum Powder,Bloodghast,Narcomoeba,Bazaar of Baghdad,Elesh Norn
Alex,Vintage,Dredge,Leovold,3,Win,Bridge from Below,Mental Misstep,Bazaar of Baghdad,Serum Powder,Hollow One,Narcomoeba,Dakmor Salvage
Alex,Vintage,Dredge,Shops,1,Win,Bazaar of Baghdad,Bridge from Below,Cabal Therapy,Force of Will,,,
ryan,modern,mardu pyromancer,w/b eldrazi,2,win,mountain,bloodstained mire,bloodstained mire,thoughtseize,young pyromancer,inquisition of kozilek,blood moon
ryan,modern,mardu pyromancer,w/b eldrazi,3,win,bloodstained mire,sacred foundry,mountain,faithless looting,faithless looting,collective brutality,blood moon
ryan,modern,living end,hollow one,1,win,blackcleave cliffs,overgrown tomb,fulminator mage,beast within,monstrous carabid,demonic dread,violent outburst
ryan,modern,living end,temur,3,win,verdant catacombs,street wraith,simian spirit guide,simian spirit guide,violent outburst,blood moon,horror of the broken lands
ryan,modern,living end,blue turns,1,win,forest,swamp,architects of will,violent outburst,street wraith,violent outburst,architects of will
ryan,modern,living end,blue turns,2,win,forest,bloodstained mire,horror of the broken lands,street wraith,violent outburst,ricochet trap,living end
ryan,modern,living end,burn,1,win,swamp,swamp,blood moon,horror of the broken lands,monstrous carabid,simian spirit guide,verdant catacombs
ryan,modern,naya,ug merfolk,1,win,dryad arbor,arid mesa,experiment one,experiment one,kird ape,goblin guide,reckless bushwhacker
ryan,modern,naya,ug merfolk,2,win,windswept heath,temple garden,wooded foothills,devastating summons,wild nacatl,kird ape,tarmogoyf
ryan,modern,naya,bogles,2,win,sacred foundry,stomping ground,burning-tree emissary,reckless bushwhacker,arid mesa,tarmogoyf,experiment one
ryan,modern,naya,burn,1,win,wooded foothills,tarmogoyf,stomping ground,reckless bushwhacker,atarka's command,goblin guide,windswept heath
ryan,modern,naya,burn,3,win,windswept heath,sacred foundry,goblin guide,wild nacatl,burning-tree emissary,reckless bushwhacker,lightning bolt
ryan,modern,naya,bant spirits,1,win,temple garden,sacred foundry,experiment one,burning-tree emissary,experiment one,burning-tree emissary,goblin guide
ryan,modern,naya,bant spirits,3,win,windswept heath,wooded foothills,experiment one,experiment one,tarmogoyf,goblin guide,path to exile
ryan,modern,naya,burn,1,win,sacred foundry,forked bolt,atarka's command,devastating summons,reckless bushwhacker,tarmogoyf,
ryan,modern,naya,burn,3,win,sacred foundry,forest,windswept heath,experiment one,reckless bushwhacker,burning-tree emissary,kird ape
ryan,modern,naya,uw,1,win,stomping ground,path to exile,lightning bolt,atarka's command,experiment one,burning-tree emissary,
ryan,modern,naya,uw,2,win,arid mesa,lightning bolt,wild nacatl,burning-tree emissary,sacred foundry,experiment one,tarmogoyf
ryan,modern,naya,jund,1,win,sacred foundry,dryad arbor,goblin guide,lightning bolt,goblin guide,path to exile,kird ape
ryan,modern,naya,jund,3,win,temple garden,arid mesa,wild nacatl,atarka's command,burning-tree emissary,kird ape,path to exile
ryan,modern,naya,amulet,1,win,stomping ground,wooded foothills,lightning bolt,kird ape,wild nacatl,path to exile,tarmogoyf
ryan,modern,naya,bogles,1,win,arid mesa,arid mesa,arid mesa,experiment one,burning-tree emissary,lightning bolt,burning-tree emissary
ryan,modern,naya,bogles,3,win,arid mesa,temple garden,wooded foothills,lightning bolt,goblin guide,burning-tree emissary,reckless bushwhacker
ryan,modern,naya,temur lands,1,win,dryad arbor,sacred foundry,wild nacatl,tarmogoyf,burning-tree emissary,tarmogoyf,devastating summons
ryan,modern,naya,temur lands,3,win,windswept heath,windswept heath,windswept heath,wild nacatl,goblin guide,lightning bolt,forked bolt
ryan,modern,naya,storm,1,win,wooded foothills,windswept heath,wild nacatl,devastating summons,tarmogoyf,burning-tree emissary,
ryan,modern,naya,storm,2,win,wooded foothills,kird ape,kird ape,rest in peace,rest in peace,atarka's command,
ryan,modern,naya,abzan ascendancy,2,win,windswept heath,experiment one,wild nacatl,goblin guide,path to exile,rest in peace,devastating summons
ryan,modern,naya,abzan ascendancy,3,win,windswept heath,experiment one,reckless bushwhacker,ghor-clan rampager,kird ape,devastating summons,
ryan,modern,naya,8 rack,1,win,stomping ground,wooded foothills,tarmogoyf,burning-tree emissary,atarka's command,reckless bushwhacker,
ryan,modern,naya,8 rack,3,win,stomping ground,wild nacatl,wooded foothills,goblin guide,burning-tree emissary,burning-tree emissary,lightning bolt
ryan,modern,naya,dredge,2,win,windswept heath,wooded foothills,arid mesa,goblin guide,wild nacatl,devastating summons,reckless bushwhacker
ryan,modern,naya,ub rack,2,win,stomping ground,windswept heath,dryad arbor,experiment one,burning-tree emissary,goblin guide,ancient grudge
ryan,modern,naya,ub rack,3,win,sacred foundry,wooded foothills,arid mesa,dryad arbor,wild nacatl,tarmogoyf,atarka's command
